Marque/Modèle,Année,Kilométrage,Etat,Prix
Volkswagen ID.5,2022,15 630 km,Occasion,36 799 €
BMW Série 4 Coupé,2023,73 357 km,Occasion,39 799 €
Audi A1,2018,58 305 km,Occasion,14 299 €
Volkswagen Up,2022,6 159 km,Occasion,14 999 €
Volkswagen Tiguan Allspace,2023,19 831 km,Occasion,37 299 €
Peugeot Expert Fourgon,2023,2 934 km,Occasion,30 999 €
Audi A6 Allroad,2015,129 711 km,Occasion,23 499 €
Renault Mégane,2019,105 793 km,Occasion,10 999 €
Mercedes CLA,2018,54 898 km,Occasion,25 999 €
Kia Ceed,2023,24 751 km,Occasion,21 499 €
Fiat Panda,2020,48 000 km,Occasion,10 999 €
Infiniti Q30,2018,61 427 km,Occasion,15 999 €
Tesla MODEL S,2017,112 315 km,Occasion,29 999 €
Toyota CAMRY,2019,56 967 km,Occasion,23 999 €
Skoda Octavia Combi,2022,28 260 km,Occasion,25 399 €
Citroën JUMPY FOURGON,2022,810 km,Occasion,26 999 €
Mitsubishi ECLIPSE CROSS,2023,3 101 km,Occasion,29 999 €
Hyundai Ioniq,2020,88 706 km,Occasion,16 499 €
Ford Ecosport,2018,44 910 km,Occasion,15 999 €
Kia EV6,2022,67 275 km,Occasion,28 999 €
Ford S-Max,2020,114 474 km,Occasion,21 499 €
Mazda CX-5,2014,120 271 km,Occasion,14 999 €
Toyota Proace Verso,2023,10 km,Occasion,34 499 €
DS DS5,2016,108 856 km,Occasion,15 999 €
Volkswagen Passat SW,2019,103 571 km,Occasion,15 499 €
Audi A5 Sportback,2019,47 830 km,Occasion,32 099 €
Renault Talisman Estate,2020,77 343 km,Occasion,18 499 €
Opel INSIGNIA GRAND SPORT,2021,29 115 km,Occasion,21 999 €
Kia Rio,2022,12 312 km,Occasion,15 499 €
Audi Q5,2020,25 744 km,Occasion,43 099 €
Alfa Romeo Giulietta,2019,35 917 km,Occasion,15 699 €
Dacia Logan MCV,2015,117 320 km,Occasion,8 999 €
Opel VIVARO FOURGON,2020,74 870 km,Occasion,20 999 €
Renault Talisman,2016,74 380 km,Occasion,15 499 €
Opel CORSA ELECTRIQUE,2021,35 490 km,Occasion,16 499 €
Skoda Superb,2023,27 104 km,Occasion,32 999 €
Hyundai i30,2024,12 322 km,Occasion,21 999 €
Citroën Grand C4 Picasso,2016,82 271 km,Occasion,14 999 €
BMW I3,2018,92 400 km,Occasion,14 699 €
Opel Grandland X Business,2019,56 782 km,Occasion,14 299 €
Audi SQ7,2016,106 015 km,Occasion,49 999 €
Smart Fortwo Coupé,2019,52 895 km,Occasion,13 999 €
Ford EDGE,2016,102 797 km,Occasion,19 999 €
Alfa Romeo Stelvio,2019,89 966 km,Occasion,22 999 €
Volkswagen Golf SW,2018,114 870 km,Occasion,12 499 €
Mercedes GLB,2024,19 799 km,Occasion,47 299 €
Renault Clio 4 Société,2018,77 675 km,Occasion,9 999 €
BMW Série 3,2021,71 135 km,Occasion,27 999 €
Opel Mokka X,2018,62 393 km,Occasion,13 999 €
Volvo XC60,2022,64 513 km,Occasion,36 999 €
Citroën E-BERLINGO,2023,15 km,Occasion,24 999 €
Citroën C-Elysee,2018,5 475 km,Occasion,9 499 €
Jeep Avenger,2024,18 615 km,Occasion,22 999 €
MG MARVEL R,2022,19 217 km,Occasion,30 799 €
Volvo V40,2019,84 548 km,Occasion,18 499 €
Ford C-Max,2016,79 040 km,Occasion,11 299 €
Skoda Fabia Combi,2022,26 359 km,Occasion,18 499 €
Ford KA+,2019,44 759 km,Occasion,10 999 €
Ford Mondeo SW,2020,113 072 km,Occasion,17 299 €
Fiat 500 L,2018,114 472 km,Occasion,10 999 €
Skoda Octavia,2021,86 286 km,Occasion,18 499 €
Renault Koleos,2018,44 831 km,Occasion,22 499 €
Volvo V60,2021,46 688 km,Occasion,26 599 €
