Marque,Modèle,Année,Kilométrage,Etat,Prix
Volkswagen,Tiguan Allspace,2023,19831.0,Occasion,37299.0
Peugeot,Expert Fourgon,2023,2934.0,Occasion,30999.0
Audi,A6 Allroad,2015,129711.0,Occasion,23499.0
Renault,Mégane,2019,105793.0,Occasion,10999.0
Mercedes,CLA,2018,54898.0,Occasion,25999.0
Kia,Ceed,2023,24751.0,Occasion,21499.0
Fiat,Panda,2020,48000.0,Occasion,10999.0
Infiniti,Q30,2018,61427.0,Occasion,15999.0
Tesla,MODEL S,2017,112315.0,Occasion,29999.0
Toyota,CAMRY,2019,56967.0,Occasion,23999.0
Skoda,Octavia Combi,2022,28260.0,Occasion,25399.0
Citroën,JUMPY FOURGON,2022,810.0,Occasion,26999.0
Mitsubishi,ECLIPSE CROSS,2023,3101.0,Occasion,29999.0
Hyundai,Ioniq,2020,88706.0,Occasion,16499.0
Ford,Ecosport,2018,44910.0,Occasion,15999.0
Kia,EV6,2022,67275.0,Occasion,28999.0
Ford,S-Max,2020,114474.0,Occasion,21499.0
Mazda,CX-5,2014,120271.0,Occasion,14999.0
Toyota,Proace Verso,2023,10.0,Occasion,34499.0
DS,DS5,2016,108856.0,Occasion,15999.0
Volkswagen,Passat SW,2019,103571.0,Occasion,15499.0
Audi,A5 Sportback,2019,47830.0,Occasion,32099.0
Renault,Talisman Estate,2020,77343.0,Occasion,18499.0
Opel,INSIGNIA GRAND SPORT,2021,29115.0,Occasion,21999.0
Kia,Rio,2022,12312.0,Occasion,15499.0
Audi,Q5,2020,25744.0,Occasion,43099.0
Alfa,Romeo Giulietta,2019,35917.0,Occasion,15699.0
Dacia,Logan MCV,2015,117320.0,Occasion,8999.0
Opel,VIVARO FOURGON,2020,74870.0,Occasion,20999.0
Renault,Talisman,2016,74380.0,Occasion,15499.0
Opel,CORSA ELECTRIQUE,2021,35490.0,Occasion,16499.0
Skoda,Superb,2023,27104.0,Occasion,32999.0
Hyundai,i30,2024,12322.0,Occasion,21999.0
Citroën,Grand C4 Picasso,2016,82271.0,Occasion,14999.0
BMW,I3,2018,92400.0,Occasion,14699.0
Opel,Grandland X Business,2019,56782.0,Occasion,14299.0
Audi,SQ7,2016,106015.0,Occasion,49999.0
Smart,Fortwo Coupé,2019,52895.0,Occasion,13999.0
Ford,EDGE,2016,102797.0,Occasion,19999.0
Alfa,Romeo Stelvio,2019,89966.0,Occasion,22999.0
Volkswagen,Golf SW,2018,114870.0,Occasion,12499.0
Mercedes,GLB,2024,19799.0,Occasion,47299.0
Renault,Clio 4 Société,2018,77675.0,Occasion,9999.0
BMW,Série 3,2021,71135.0,Occasion,27999.0
Opel,Mokka X,2018,62393.0,Occasion,13999.0
Volvo,XC60,2022,64513.0,Occasion,36999.0
