Marque,Modèle,Année,Kilométrage,Etat,Prix
Dacia,Sandero,2018,29850.0,Occasion,11499.0
Ford,Puma,2021,89206.0,Occasion,14999.0
Volkswagen,T-CROSS,2021,34230.0,Occasion,21499.0
Cupra,Formentor,2022,9000.0,Occasion,29399.0
Hyundai,Kona,2019,83450.0,Occasion,17999.0
Dacia,JOGGER,2022,84510.0,Occasion,15699.0
Fiat,500X,2020,34515.0,Occasion,17799.0
Citroën,C4 X,2023,24693.0,Occasion,19999.0
Cupra,Leon Sportstourer,2023,1990.0,Occasion,36899.0
Peugeot,2008,2024,2025.0,Occasion,27499.0
Renault,Captur,2020,75733.0,Occasion,18499.0
Toyota,Corolla Touring Sport,2023,14090.0,Occasion,25499.0
Volkswagen,TAIGO,2022,20941.0,Occasion,22999.0
Renault,Clio 5,2023,5808.0,Occasion,15399.0
Toyota,C-HR,2018,75151.0,Occasion,18799.0
Citroën,C5 Aircross,2019,41365.0,Occasion,14999.0
Renault,Arkana,2021,71537.0,Occasion,18999.0
Nissan,Qashqai,2023,23310.0,Occasion,28999.0
Peugeot,5008,2019,105815.0,Occasion,18499.0
Citroën,C4,2016,86914.0,Occasion,8999.0
Renault,Austral,2024,2411.0,Occasion,38499.0
Peugeot,3008,2024,149.0,Occasion,31499.0
Renault,Clio 5,2024,11376.0,Occasion,18399.0
Dacia,Duster,2020,74495.0,Occasion,15799.0
Mercedes,Classe A,2022,56866.0,Occasion,25099.0
Opel,Mokka,2021,48945.0,Occasion,16499.0
Toyota,Yaris Cross,2023,23045.0,Occasion,25999.0
Hyundai,Tucson,2021,38963.0,Occasion,31499.0
Renault,Twingo 3,2021,13924.0,Occasion,11199.0
DS,DS7 CROSSBACK,2022,7976.0,Occasion,35799.0
Tesla,MODEL 3,2021,135925.0,Occasion,22999.0
Renault,Clio 4,2019,20919.0,Occasion,13499.0
Renault,Zoé,2016,54867.0,Occasion,6799.0
Renault,Mégane 4,2016,44470.0,Occasion,12999.0
Renault,Kadjar,2016,51630.0,Occasion,13999.0
Volkswagen,Polo,2023,20495.0,Occasion,29899.0
Toyota,Yaris,2020,100907.0,Occasion,15999.0
Toyota,RAV 4,2022,37572.0,Occasion,33499.0
Citroën,C4 Cactus,2019,42475.0,Occasion,13499.0
DS,DS3 CROSSBACK,2020,47222.0,Occasion,16999.0
BMW,Série 1,2020,59094.0,Occasion,20099.0
Citroën,Berlingo,2021,45851.0,Occasion,18999.0
Toyota,Corolla,2019,78265.0,Occasion,20999.0
Dacia,SPRING,2022,13578.0,Occasion,11499.0
Volkswagen,Golf 7,2019,120209.0,Occasion,15499.0
Audi,A1 Sportback,2023,13283.0,Occasion,27799.0
Opel,Crossland,2022,28376.0,Occasion,18099.0
Mini,Mini,2022,45364.0,Occasion,23399.0
Jeep,Renegade,2018,67493.0,Occasion,13999.0
Renault,Grand Scénic 4,2019,79545.0,Occasion,18999.0
Opel,Crossland X,2020,59031.0,Occasion,14799.0
Kia,Niro,2024,2760.0,Occasion,29999.0
DS,DS3,2017,98414.0,Occasion,8999.0
Opel,GRANDLAND,2023,24450.0,Occasion,20999.0
Audi,Q2,2023,10.0,Occasion,32499.0
Fiat,500C,2023,3079.0,Occasion,16999.0
Ford,Kuga,2022,53527.0,Occasion,22699.0
BMW,X1,2020,119551.0,Occasion,21699.0
BMW,Série 2 Active Tourer,2018,26873.0,Occasion,20999.0
Tesla,MODEL Y,2023,8820.0,Occasion,34599.0
Toyota,Aygo X,2023,7083.0,Occasion,17999.0
Ford,Fiesta,2023,19125.0,Occasion,17499.0
Renault,Scénic 4,2017,80975.0,Occasion,13999.0
Citroën,GRAND C4 SPACETOURER,2020,70240.0,Occasion,15499.0
Peugeot,108,2018,81400.0,Occasion,9299.0
Skoda,Karoq,2023,14529.0,Occasion,27999.0
Opel,Grandland X,2021,72101.0,Occasion,16799.0
Peugeot,508 SW,2020,35105.0,Occasion,21999.0
Citroën,C4 SPACETOURER,2019,76926.0,Occasion,13499.0
Lynk&Co,01,2023,29809.0,Occasion,27399.0
Fiat,Tipo,2019,29736.0,Occasion,12499.0
BMW,X2,2022,40865.0,Occasion,32999.0
Nissan,Micra,2021,19061.0,Occasion,12799.0
Peugeot,RIFTER,2019,36483.0,Occasion,19499.0
Audi,Q3,2016,95532.0,Occasion,19999.0
Opel,Astra,2024,31279.0,Occasion,26499.0
Land,Rover Range Rover Evoque,2019,63352.0,Occasion,29999.0
Cupra,Leon,2021,51088.0,Occasion,24999.0
Seat,Ateca,2020,109548.0,Occasion,23999.0
Citroën,C4 Picasso,2017,112865.0,Occasion,12999.0
Renault,Mégane 4 Estate,2020,129163.0,Occasion,11699.0
Skoda,Fabia,2018,36383.0,Occasion,15999.0
Kia,Stonic,2018,104255.0,Occasion,11999.0
Audi,A4 Avant,2022,61874.0,Occasion,27699.0
Citroën,C1,2018,22403.0,Occasion,9999.0
BYD,Atto 3,2022,18277.0,Occasion,27999.0
BMW,X3,2020,31987.0,Occasion,35999.0
Mercedes,GLA,2017,92600.0,Occasion,23999.0
MG,EHS,2023,43346.0,Occasion,23499.0
Renault,Espace 5,2020,92925.0,Occasion,27999.0
Mini,Clubman,2018,20720.0,Occasion,20999.0
Ford,Focus SW,2023,24125.0,Occasion,24999.0
Nissan,Leaf,2019,33821.0,Occasion,14299.0
Kia,Xceed,2022,16167.0,Occasion,27799.0
Suzuki,VITARA,2016,124006.0,Occasion,11499.0
Kia,Ceed,2023,13841.0,Occasion,24999.0
Volvo,XC40,2019,118762.0,Occasion,21699.0
Volkswagen,Up,2022,13572.0,Occasion,14999.0
Dacia,Lodgy,2019,81862.0,Occasion,14499.0
Fiat,Panda,2019,39746.0,Occasion,9499.0
Mitsubishi,ECLIPSE CROSS,2023,19005.0,Occasion,30499.0
Lexus,UX,2021,36347.0,Occasion,25799.0
Toyota,CAMRY,2023,24494.0,Occasion,36899.0
Volkswagen,Passat SW,2023,13030.0,Occasion,49399.0
Mini,Countryman,2019,50500.0,Occasion,23999.0
Mercedes,CLA Shooting Brake,2020,56839.0,Occasion,25399.0
Skoda,Octavia Combi,2023,26531.0,Occasion,31499.0
Skoda,Superb,2023,20640.0,Occasion,36199.0
Hyundai,i30,2022,29609.0,Occasion,22299.0
Citroën,Grand C4 Picasso,2017,101630.0,Occasion,13499.0
Audi,A5 Sportback,2021,45617.0,Occasion,36099.0
Mercedes,CLA,2020,56642.0,Occasion,29999.0
Kia,Rio,2022,28175.0,Occasion,15499.0
Renault,Koleos,2021,59112.0,Occasion,23499.0
Dacia,Logan MCV,2019,50676.0,Occasion,12027.0
Skoda,Scala,2023,30295.0,Occasion,17999.0
Volvo,XC60,2016,129162.0,Occasion,18599.0
BMW,Série 3,2020,26729.0,Occasion,27899.0
Mazda,CX-30,2024,8340.0,Occasion,29499.0
Audi,A3 Berline,2019,26054.0,Occasion,28399.0
BMW,X4,2018,101907.0,Occasion,26999.0
Volkswagen,Golf 7 SW,2020,70956.0,Occasion,17399.0
Volkswagen,Golf 8 SW,2021,85148.0,Occasion,21499.0
Hyundai,Ioniq 5,2022,17154.0,Occasion,28999.0
BMW,Série 3 Touring,2020,63276.0,Occasion,25799.0
Renault,Clio,2021,27976.0,Occasion,13699.0
Kia,ProCeed,2022,32031.0,Occasion,26999.0
Kia,Cee'd,2017,76902.0,Occasion,12999.0
Smart,Fortwo EQ,2020,13919.0,Occasion,12999.0
Smart,FORTWO,2018,81190.0,Occasion,9299.0
Mercedes,GLC,2021,93677.0,Occasion,37399.0
Lexus,NX 300h,2017,59668.0,Occasion,27999.0
Kia,Picanto,2020,16992.0,Occasion,12999.0
Toyota,Aygo,2015,58734.0,Occasion,9999.0
Hyundai,BAYON,2022,45140.0,Occasion,16999.0
Ford,Ecosport,2019,54383.0,Occasion,14499.0
Opel,Karl,2016,71015.0,Occasion,7999.0
Citroën,E-BERLINGO,2023,15.0,Occasion,24799.0
Mazda,CX-3,2017,34290.0,Occasion,16499.0
Mercedes,Classe C Break,2019,79842.0,Occasion,27999.0
Peugeot,208,2022,5737.0,Occasion,16999.0
Citroën,C3 Aircross,2023,11884.0,Occasion,16699.0
Fiat,500,2022,25519.0,Occasion,18499.0
Opel,Corsa,2021,33811.0,Occasion,16999.0
DS,DS4,2022,19380.0,Occasion,25999.0
Peugeot,508,2017,45950.0,Occasion,13999.0
Ford,Focus,2024,6350.0,Occasion,24899.0
Jeep,Compass,2022,60417.0,Occasion,23499.0
Volkswagen,Touran,2023,52261.0,Occasion,31999.0
Opel,Astra Sports Tourer,2018,83880.0,Occasion,11999.0
Peugeot,Expert Fourgon,2022,10.0,Occasion,24499.0
Fiat,Tipo SW,2018,69250.0,Occasion,13099.0
Renault,Master Fourgon,2023,5.0,Occasion,38799.0
Peugeot,308,2024,10100.0,Occasion,27999.0
Citroën,C3,2022,44133.0,Occasion,10799.0
Audi,A3 Sportback,2012,107250.0,Occasion,11999.0
Volkswagen,Golf 8,2020,38811.0,Occasion,20499.0
Volkswagen,Tiguan,2020,60840.0,Occasion,32999.0
Volkswagen,T-Roc,2024,17680.0,Occasion,37899.0
Peugeot,308 SW,2020,30775.0,Occasion,14799.0
Peugeot,408,2023,47442.0,Occasion,31399.0
Nissan,Juke,2022,9075.0,Occasion,20499.0
Citroën,C5 X,2023,24760.0,Occasion,20799.0
Audi,Q3 Sportback,2021,30043.0,Occasion,29599.0
Skoda,Kamiq,2020,41434.0,Occasion,18999.0
Mazda,CX-5,2017,89215.0,Occasion,16999.0
Opel,Movano,2023,50.0,Occasion,38199.0
Dacia,Sandero,2021,24805.0,Occasion,15299.0
Ford,Puma,2020,48534.0,Occasion,20599.0
Kia,Sportage,2017,47839.0,Occasion,17499.0
Seat,Arona,2022,21031.0,Occasion,23299.0
Volkswagen,T-Cross,2021,36564.0,Occasion,20499.0
Dacia,JOGGER,2023,45556.0,Occasion,18499.0
Citroën,C4 X,2023,19908.0,Occasion,19999.0
Cupra,LEON SPORTSTOURER,2023,45132.0,Occasion,31499.0
Peugeot,2008,2021,18805.0,Occasion,18499.0
Toyota,Corolla Touring Sport,2022,41075.0,Occasion,23999.0
Volkswagen,Taigo,2023,15650.0,Occasion,24999.0
Hyundai,Kona,2022,12119.0,Occasion,18499.0
Renault,Captur,2017,64911.0,Occasion,13999.0
Fiat,500X,2018,86211.0,Occasion,12499.0
Renault,Clio 5,2023,14755.0,Occasion,21999.0
Toyota,C-HR,2022,26061.0,Occasion,22499.0
Nissan,Qashqai,2022,13762.0,Occasion,25199.0
Peugeot,5008,2018,138347.0,Occasion,21999.0
Citroën,C5 Aircross,2023,9177.0,Occasion,31499.0
Citroën,C4,2017,88550.0,Occasion,10799.0
Renault,Arkana,2023,11610.0,Occasion,24699.0
Renault,Austral,2024,350.0,Occasion,32399.0
Peugeot,3008,2023,4620.0,Occasion,24999.0
Dacia,Duster,2023,22744.0,Occasion,24499.0
Mercedes,Classe A,2016,136185.0,Occasion,18499.0
Toyota,YARIS CROSS,2023,11978.0,Occasion,27999.0
Opel,Mokka,2016,87280.0,Occasion,12599.0
Renault,Twingo 3,2021,6349.0,Occasion,12499.0
Volkswagen,Polo,2016,129648.0,Occasion,11999.0
Renault,Mégane 4,2018,11836.0,Occasion,14999.0
Renault,Zoé,2020,9504.0,Occasion,16199.0
DS,DS7 CROSSBACK,2020,47728.0,Occasion,27799.0
Toyota,RAV 4,2022,4142.0,Occasion,39999.0
Citroën,C4 Cactus,2019,23396.0,Occasion,15799.0
DS,DS3 Crossback,2021,27332.0,Occasion,20699.0
Renault,Kadjar,2022,49170.0,Occasion,22299.0
Toyota,Corolla,2022,25604.0,Occasion,24799.0
Toyota,Yaris,2020,51425.0,Occasion,12999.0
BMW,Série 1,2017,91428.0,Occasion,15999.0
Citroën,Berlingo,2019,43677.0,Occasion,18999.0
Tesla,MODEL 3,2020,83640.0,Occasion,33999.0
Volkswagen,Golf 7,2019,89310.0,Occasion,16499.0
Opel,Crossland,2023,20185.0,Occasion,16999.0
Dacia,SPRING,2023,6155.0,Occasion,14799.0
Mini,Mini,2021,33565.0,Occasion,18799.0
Renault,Grand Scénic 4,2018,67430.0,Occasion,18999.0
Audi,A1 Sportback,2017,115264.0,Occasion,13999.0
Kia,Niro,2021,42285.0,Occasion,21999.0
Opel,Crossland X,2019,84018.0,Occasion,11999.0
Ford,Kuga,2022,45750.0,Occasion,24999.0
Audi,Q2,2020,55500.0,Occasion,24999.0
DS,DS3,2018,21737.0,Occasion,12999.0
BMW,Série 2 Active Tourer,2017,106355.0,Occasion,17999.0
BMW,X1,2022,35256.0,Occasion,30199.0
Jeep,Renegade,2018,65895.0,Occasion,14499.0
Renault,Scénic 4,2018,95293.0,Occasion,17499.0
Citroën,GRAND C4 SPACETOURER,2021,29343.0,Occasion,19999.0
Ford,Fiesta,2019,102818.0,Occasion,11499.0
Peugeot,108,2020,23252.0,Occasion,10599.0
Opel,GRANDLAND,2023,18460.0,Occasion,20499.0
Toyota,Aygo X,2024,10571.0,Occasion,17299.0
Opel,Grandland X,2019,41029.0,Occasion,14699.0
Fiat,Tipo,2017,54516.0,Occasion,12499.0
Skoda,Karoq,2018,110235.0,Occasion,16499.0
Peugeot,508 SW,2021,61730.0,Occasion,21999.0
Citroën,C4 SPACETOURER,2018,59791.0,Occasion,13999.0
Peugeot,RIFTER,2019,91334.0,Occasion,18799.0
Nissan,Micra,2019,93002.0,Occasion,11799.0
Opel,Astra,2019,50472.0,Occasion,14299.0
Audi,Q3,2020,104026.0,Occasion,26799.0
Cupra,Leon,2021,32229.0,Occasion,24999.0
BMW,X2,2020,73955.0,Occasion,27099.0
Seat,Ateca,2023,22555.0,Occasion,27599.0
Tesla,MODEL Y,2022,53696.0,Occasion,38999.0
Citroën,C4 Picasso,2017,41847.0,Occasion,17999.0
Skoda,Fabia,2023,37011.0,Occasion,20999.0
Renault,Mégane 4 Estate,2020,65684.0,Occasion,15999.0
Lynk&Co,01,2021,64251.0,Occasion,22499.0
Kia,Stonic,2018,52725.0,Occasion,13999.0
Audi,A4 Avant,2020,36172.0,Occasion,25999.0
BMW,X3,2021,64463.0,Occasion,40099.0
Citroën,C1,2019,27505.0,Occasion,10299.0
BYD,Atto 3,2022,5555.0,Occasion,29499.0
MG,EHS,2023,650.0,Occasion,28499.0
Ford,Focus SW,2019,67864.0,Occasion,16099.0
Suzuki,Vitara,2022,9595.0,Occasion,24499.0
Kia,Ceed,2018,117394.0,Occasion,12299.0
Kia,Xceed,2022,53423.0,Occasion,21999.0
Nissan,Leaf,2020,63695.0,Occasion,16499.0
Volkswagen,Up,2020,33089.0,Occasion,11999.0
Fiat,Panda,2017,73388.0,Occasion,9999.0
Dacia,Lodgy,2020,76915.0,Occasion,14999.0
Volvo,XC40,2019,72441.0,Occasion,27699.0
Mercedes,CLA Shooting Brake,2023,9332.0,Occasion,40999.0
Volkswagen,Passat SW,2020,27558.0,Occasion,27399.0
Mini,Countryman,2019,74839.0,Occasion,21499.0
Skoda,Superb,2023,20236.0,Occasion,33499.0
Hyundai,i30,2023,12857.0,Occasion,24999.0
Skoda,Octavia Combi,2020,107377.0,Occasion,20999.0
Fiat,500C,2024,312.0,Occasion,18399.0
Renault,Koleos,2017,114415.0,Occasion,17999.0
Volvo,XC60,2020,95329.0,Occasion,27999.0
Skoda,Scala,2023,12756.0,Occasion,21499.0
BMW,Série 3,2020,62281.0,Occasion,29199.0
Mazda,CX-30,2024,8120.0,Occasion,29499.0
Volkswagen,Golf 8 SW,2022,48556.0,Occasion,21299.0
Hyundai,Ioniq 5,2022,31971.0,Occasion,27999.0
Renault,Clio,2021,19628.0,Occasion,13899.0
BMW,Série 3 Touring,2021,89124.0,Occasion,31599.0
Smart,FORTWO,2017,20715.0,Occasion,10499.0
Lexus,NX 300h,2019,101992.0,Occasion,26499.0
Mitsubishi,ECLIPSE CROSS,2023,15295.0,Occasion,30999.0
Citroën,Grand C4 Picasso,2018,73516.0,Occasion,16499.0
Dacia,Logan MCV,2020,12659.0,Occasion,12899.0
Opel,Karl,2019,15471.0,Occasion,9799.0
Citroën,C3 Aircross,2023,10665.0,Occasion,17799.0
Hyundai,Tucson,2023,21649.0,Occasion,35099.0
Opel,Corsa,2020,79533.0,Occasion,10999.0
DS,DS4,2023,26510.0,Occasion,25999.0
Ford,Focus,2021,33602.0,Occasion,18099.0
Jeep,Compass,2018,106093.0,Occasion,12999.0
Volkswagen,Touran,2024,11470.0,Occasion,38699.0
Renault,Master Fourgon,2023,10.0,Occasion,32899.0
Fiat,Tipo SW,2022,48478.0,Occasion,15299.0
Peugeot,308,2015,73830.0,Occasion,9499.0
Fiat,500,2023,29714.0,Occasion,14199.0
Audi,A3 Sportback,2021,26000.0,Occasion,32499.0
Volkswagen,Tiguan,2019,88542.0,Occasion,25999.0
Peugeot,308 SW,2024,4992.0,Occasion,27999.0
Volkswagen,T-Roc,2023,21475.0,Occasion,23817.0
Peugeot,408,2024,7536.0,Occasion,30999.0
Nissan,Juke,2017,68667.0,Occasion,12299.0
Peugeot,508,2023,80.0,Occasion,28999.0
Audi,Q3 Sportback,2022,22940.0,Occasion,36899.0
Skoda,KAMIQ,2023,22665.0,Occasion,21999.0
Citroën,C3,2018,88147.0,Occasion,11499.0
Volkswagen,Golf 8,2023,24765.0,Occasion,37299.0
Ford,PUMA,2021,60025.0,Occasion,18999.0
Kia,Sportage,2017,146170.0,Occasion,12999.0
Seat,Arona,2018,32788.0,Occasion,15099.0
Volkswagen,T-Cross,2022,32550.0,Occasion,20999.0
Peugeot,Expert Fourgon,2022,3693.0,Occasion,25399.0
Dacia,Sandero,2021,11235.0,Occasion,13999.0
Citroën,C5 X,2023,3767.0,Occasion,24999.0
Dacia,Jogger,2023,26280.0,Occasion,18799.0
Citroën,C4 X,2023,4035.0,Occasion,20999.0
Seat,Leon Sportstourer,2022,85238.0,Occasion,21599.0
Cupra,FORMENTOR,2022,71598.0,Occasion,23999.0
Volkswagen,Taigo,2022,33018.0,Occasion,20499.0
Toyota,Corolla Touring Sport,2023,13120.0,Occasion,25499.0
Hyundai,Kona,2023,48526.0,Occasion,19999.0
Peugeot,2008,2018,79809.0,Occasion,9999.0
Renault,Clio 5,2021,96988.0,Occasion,12999.0
Toyota,C-HR,2022,42179.0,Occasion,23999.0
Fiat,500X,2021,53163.0,Occasion,18299.0
Renault,Captur,2014,91175.0,Occasion,10899.0
Citroën,C5 Aircross,2024,7110.0,Occasion,26999.0
Nissan,Qashqai,2019,130138.0,Occasion,14999.0
Peugeot,5008,2017,148069.0,Occasion,14499.0
Renault,Arkana,2023,19223.0,Occasion,22499.0
Citroën,C4,2024,853.0,Occasion,22999.0
Peugeot,3008,2024,5088.0,Occasion,30399.0
Dacia,Duster,2018,101590.0,Occasion,12499.0
Mercedes,Classe A,2023,9745.0,Occasion,30899.0
Opel,Mokka,2023,13425.0,Occasion,19299.0
Renault,Twingo 3,2018,20612.0,Occasion,10599.0
Renault,Clio 4,2017,83153.0,Occasion,12699.0
Volkswagen,Polo,2015,59030.0,Occasion,14999.0
Renault,Mégane 4,2019,98800.0,Occasion,16999.0
Citroën,C4 Cactus,2019,47045.0,Occasion,12999.0
Toyota,RAV 4,2023,9538.0,Occasion,46475.0
Renault,Zoé,2016,43390.0,Occasion,6999.0
Renault,Kadjar,2021,43288.0,Occasion,19499.0
DS,DS7 CROSSBACK,2019,108750.0,Occasion,21799.0
Toyota,Corolla,2023,45183.0,Occasion,21999.0
BMW,Série 1,2022,49839.0,Occasion,27999.0
Citroën,Berlingo,2019,35943.0,Occasion,19999.0
Mini,Mini,2021,5470.0,Occasion,20699.0
DS,DS3 CROSSBACK,2021,11165.0,Occasion,20999.0
Dacia,SPRING,2022,19435.0,Occasion,10999.0
Opel,Crossland,2023,19834.0,Occasion,16699.0
Renault,Grand Scénic 4,2017,52960.0,Occasion,16999.0
Volkswagen,Golf 7,2019,84519.0,Occasion,18499.0
Opel,Crossland X,2020,84275.0,Occasion,14799.0
Ford,Kuga,2021,25605.0,Occasion,23499.0
Audi,Q2,2024,17445.0,Occasion,30799.0
DS,DS3,2018,100430.0,Occasion,11999.0
Audi,A1 Sportback,2021,32479.0,Occasion,19799.0
Kia,Niro,2021,22295.0,Occasion,25499.0
Ford,Fiesta,2019,65377.0,Occasion,11599.0
Citroën,GRAND C4 SPACETOURER,2020,77149.0,Occasion,17999.0
Jeep,Renegade,2021,58892.0,Occasion,18999.0
Renault,Scénic 4,2018,93606.0,Occasion,15999.0
Opel,Grandland X,2020,66756.0,Occasion,16999.0
BMW,Série 2 Active Tourer,2017,60949.0,Occasion,19099.0
Toyota,Aygo X,2023,15870.0,Occasion,15499.0
Opel,GRANDLAND,2023,10.0,Occasion,26499.0
Skoda,Karoq,2023,10657.0,Occasion,25999.0
Fiat,Tipo,2022,46667.0,Occasion,17499.0
Peugeot,508 SW,2019,99363.0,Occasion,19999.0
Citroën,C4 SPACETOURER,2019,106470.0,Occasion,13999.0
Seat,Leon,2021,24940.0,Occasion,25399.0
Peugeot,RIFTER,2019,88425.0,Occasion,16999.0
Opel,Astra,2021,103147.0,Occasion,12499.0
BMW,X2,2018,100691.0,Occasion,19999.0
Seat,Ateca,2024,26720.0,Occasion,35799.0
Citroën,C4 Picasso,2017,104395.0,Occasion,12999.0
Skoda,Fabia,2023,9343.0,Occasion,21799.0
Audi,Q3,2019,80786.0,Occasion,26499.0
Renault,Mégane 4 Estate,2019,114626.0,Occasion,13499.0
Audi,A4 Avant,2021,141050.0,Occasion,21999.0
BMW,X3,2019,79230.0,Occasion,29999.0
BYD,Atto 3,2022,16577.0,Occasion,28999.0
MG,EHS,2023,56925.0,Occasion,23099.0
Fiat,Panda,2020,25511.0,Occasion,9999.0
Kia,Ceed,2023,11672.0,Occasion,19999.0
Nissan,Leaf,2021,21910.0,Occasion,15999.0
Volkswagen,Up,2023,3965.0,Occasion,16499.0
Mercedes,CLA Shooting Brake,2021,58159.0,Occasion,28099.0
Volkswagen,Passat SW,2023,10.0,Occasion,35899.0
Mini,Countryman,2019,72095.0,Occasion,21999.0
Volvo,XC40,2022,32415.0,Occasion,34499.0
Renault,Koleos,2019,99480.0,Occasion,19499.0
Skoda,Scala,2023,23776.0,Occasion,21999.0
Volvo,XC60,2016,105458.0,Occasion,22999.0
BMW,Série 3,2022,99061.0,Occasion,32999.0
Mazda,CX-30,2024,9405.0,Occasion,29499.0
Tesla,MODEL 3,2021,46715.0,Occasion,27999.0
Toyota,Yaris,2018,19300.0,Occasion,14999.0
Peugeot,108,2016,23070.0,Occasion,11499.0
Hyundai,i30,2020,72190.0,Occasion,15499.0
Volkswagen,Golf 8 SW,2021,52550.0,Occasion,26099.0
Citroën,C3 Aircross,2020,26241.0,Occasion,13999.0
Hyundai,Tucson,2021,54605.0,Occasion,30399.0
Opel,Corsa,2021,26921.0,Occasion,11999.0
DS,DS4,2023,30867.0,Occasion,26299.0
Ford,Focus,2017,103029.0,Occasion,13999.0
Jeep,Compass,2020,107281.0,Occasion,18499.0
Toyota,YARIS CROSS,2022,39114.0,Occasion,23699.0
Fiat,Tipo SW,2021,108115.0,Occasion,11199.0
Peugeot,208,2021,17460.0,Occasion,18499.0
Fiat,500,2023,38316.0,Occasion,17299.0
Audi,A3 Sportback,2018,58275.0,Occasion,20699.0
Volkswagen,Tiguan,2019,71019.0,Occasion,30699.0
Peugeot,308 SW,2020,65311.0,Occasion,13999.0
Volkswagen,T-Roc,2018,139670.0,Occasion,18999.0
Peugeot,408,2023,961.0,Occasion,30999.0
Nissan,Juke,2022,19350.0,Occasion,23999.0
Peugeot,508,2023,3673.0,Occasion,27399.0
Skoda,KAMIQ,2020,45494.0,Occasion,15499.0
Audi,Q3 Sportback,2022,29250.0,Occasion,42499.0
Renault,Master Fourgon,2023,10.0,Occasion,32999.0
Peugeot,308,2022,48656.0,Occasion,21299.0
Volkswagen,Golf 8,2021,20420.0,Occasion,21699.0
Ford,PUMA,2022,54161.0,Occasion,19999.0
Kia,Sportage,2020,47885.0,Occasion,24999.0
Seat,Arona,2023,24605.0,Occasion,19499.0
Volkswagen,T-CROSS,2019,56861.0,Occasion,16799.0
Citroën,C5 X,2023,25891.0,Occasion,20799.0
Dacia,JOGGER,2024,2622.0,Occasion,21499.0
Citroën,C4 X,2023,21344.0,Occasion,19999.0
Cupra,Leon Sportstourer,2022,68909.0,Occasion,23999.0
Cupra,Formentor,2022,88690.0,Occasion,25099.0
Dacia,Sandero,2023,17146.0,Occasion,15999.0
Hyundai,Kona,2018,83620.0,Occasion,13999.0
Peugeot,2008,2020,43586.0,Occasion,16999.0
Renault,Clio 5,2020,36645.0,Occasion,14999.0
Fiat,500X,2017,111592.0,Occasion,12699.0
Volkswagen,Taigo,2022,43900.0,Occasion,20499.0
Renault,Captur,2022,43745.0,Occasion,19499.0
Toyota,C-HR,2023,21286.0,Occasion,26999.0
Nissan,Qashqai,2023,22130.0,Occasion,27999.0
Citroën,C5 Aircross,2023,23162.0,Occasion,24199.0
Peugeot,5008,2018,80090.0,Occasion,22999.0
Renault,Arkana,2022,50259.0,Occasion,22999.0
Citroën,C4,2023,19434.0,Occasion,22999.0
Peugeot,3008,2021,24078.0,Occasion,26499.0
Dacia,Duster,2019,15088.0,Occasion,17999.0
Mercedes,Classe A,2021,62444.0,Occasion,26099.0
Opel,Mokka,2021,38863.0,Occasion,15499.0
Renault,Twingo 3,2015,3905.0,Occasion,9299.0
Renault,Clio 4,2019,73407.0,Occasion,13999.0
Renault,Mégane 4,2020,48769.0,Occasion,14499.0
Volkswagen,Polo,2015,114150.0,Occasion,10999.0
Renault,Zoé,2016,35193.0,Occasion,7299.0
Citroën,C4 Cactus,2016,110045.0,Occasion,9499.0
Renault,Kadjar,2017,123250.0,Occasion,12699.0
Toyota,RAV 4,2023,17086.0,Occasion,36499.0
Toyota,Corolla,2020,52903.0,Occasion,18999.0
DS,DS7 CROSSBACK,2021,80335.0,Occasion,23999.0
BMW,Série 1,2023,6968.0,Occasion,33999.0
Mini,Mini,2021,43658.0,Occasion,19599.0
DS,DS3 CROSSBACK,2020,90833.0,Occasion,16499.0
Dacia,SPRING,2020,11550.0,Occasion,10999.0
Renault,Grand Scénic 4,2019,97734.0,Occasion,15999.0
Opel,Crossland X,2020,96100.0,Occasion,13499.0
Volkswagen,Golf 7,2019,61999.0,Occasion,15299.0
Citroën,Berlingo,2019,106805.0,Occasion,15999.0
Audi,Q2,2024,14320.0,Occasion,31299.0
Ford,Kuga,2018,95779.0,Occasion,16799.0
DS,DS3,2023,18624.0,Occasion,24999.0
Audi,A1 Sportback,2023,10800.0,Occasion,26799.0
Citroën,GRAND C4 SPACETOURER,2020,56645.0,Occasion,17499.0
Jeep,Renegade,2017,83181.0,Occasion,15399.0
Renault,Scénic 4,2019,97890.0,Occasion,15499.0
Opel,Grandland X,2020,80759.0,Occasion,16499.0
Opel,GRANDLAND,2023,20245.0,Occasion,20499.0
Skoda,Karoq,2023,12615.0,Occasion,30999.0
Kia,Niro,2019,59690.0,Occasion,18999.0
Citroën,C4 SPACETOURER,2019,59325.0,Occasion,18499.0
Peugeot,508 SW,2019,73726.0,Occasion,19199.0
Cupra,Leon,2022,33692.0,Occasion,25499.0
BMW,Série 2 Active Tourer,2019,44863.0,Occasion,25799.0
BMW,X2,2022,47715.0,Occasion,33999.0
Seat,Ateca,2023,13063.0,Occasion,28599.0
Citroën,C4 Picasso,2017,83340.0,Occasion,10999.0
Skoda,Fabia,2023,35044.0,Occasion,21199.0
Opel,Astra,2023,10.0,Occasion,24699.0
Peugeot,RIFTER,2019,67845.0,Occasion,21999.0
BMW,X3,2020,66732.0,Occasion,35199.0
Renault,Mégane 4 Estate,2020,71842.0,Occasion,14999.0
BYD,Atto 3,2022,15953.0,Occasion,28999.0
